,text,size
440,especially,4
441,year,1
442,sure,3
443,ever,2
444,jets,1
445,several,2
446,languages,1
447,extravagant,1
448,unforgettable,1
449,car,2
450,l,1
451,horyzon,1
452,uncommonly,1
453,hefty,1
454,sde,1
455,incoming,1
456,tips,1
457,sights,1
458,hearty,1
459,plido,1
460,10min,1
461,part,1
462,newly,2
463,bathrooms,2
464,discounted,1
465,breakdown,1
466,base,1
467,trips,2
468,neighborhood,9
469,walls,1
470,thin,2
471,excessive,1
472,bedroom,1
473,bar,1
474,one,4
475,gezellig,1
476,action,2
477,elsewhere,1
478,minute,2
479,option,3
480,dinner,1
481,reservations,1
482,even,4
483,insane,1
484,weekend,3
485,doors,1
486,building,1
487,old,3
488,soundproofing,1
489,improvement,1
490,quarters,1
491,facilities,1
492,ample,2
493,econmy,1
494,occational,1
495,bump,1
496,decent,3
497,terminal,1
498,direction,1
499,saunas,1
500,noisy,2
501,bit,5
502,amazing,3
503,okay,1
504,relaxed,2
505,calmer,1
506,gorgeous,2
507,sunsets,1
508,rather,1
509,beaches,1
510,lady,1
511,patio,2
512,north,1
513,american,1
514,foods,1
515,issue,2
516,together,1
517,uncomfortable,1
518,strip,3
519,balance,1
520,further,2
521,local,3
522,relaxing,2
523,taste,1
524,description,1
525,free,3
526,glass,2
527,factory,1
528,shop,1
529,demonstration,1
530,pressure,1
531,internet,4
532,slow,1
533,everywhere,1
534,short,3
535,pick,2
536,first,3
537,canal,1
538,parking,3
539,spacious,2
540,reach,1
541,opinion,5
542,businesswith,5
543,visitors,5
544,nan,4
545,accommodating,5
546,corner,1
547,king,2
548,kitchen,7
549,patios,1
550,deluxe,1
551,town,2
552,visit,5
553,hopefully,1
554,last,2
555,hospitality,1
556,degrees,1
557,complimentary,2
558,touches,1
559,bottle,2
560,wine,3
561,fridge,7
562,sun,3
563,products,1
564,pool,11
565,pure,1
566,delight,1
567,kinda,2
568,season,1
569,residential,2
570,wooden,1
571,gate,3
572,amazement,1
573,decadence,1
574,comprehensive,1
575,awesome,1
576,secluded,1
577,tranquility,2
578,paradise,1
579,boutique,6
580,style,1
581,meticulously,1
582,saltwater,1
583,fruit,1
584,showerhead,1
585,on,3
586,babies,1
587,job,1
588,personable,1
589,title,1
590,mother,1
591,daughter,1
592,downtown,2
593,gas,1
594,fire,1
595,pit,1
596,lots,2
597,comfy,2
598,chaise,1
599,lounges,1
600,expectations,1
601,kitchenette,1
602,croissants,2
603,bottles,2
604,soda,1
605,definately,1
606,trough,1
607,peaceful,4
608,no,1
609,motel,2
610,hardly,1
611,items,1
612,snacks,1
613,reviews,1
614,happy,1
615,seldom,1
616,offshoot,1
617,mountains,2
618,outside,2
619,early,1
620,maybe,2
621,court,1
622,business,1
623,afterwards,1
624,accommodations,2
625,incredibly,1
626,thoughtful,1
627,refrigerator,1
628,bagels,1
629,cream,1
630,cheese,1
631,outpost,1
632,elegance,1
633,truly,1
634,hosts,1
635,due,1
636,illness,1
637,reviewers,1
638,inn,1
639,guest,1
640,setting,2
641,smaller,1
642,type,1
643,as,1
644,others,1
645,impressive,1
646,delightful,1
647,lit,1
648,microwave,1
649,etc,1
650,streets,1
651,shopping,1
652,art,1
653,walkable,1
654,over,1
655,moment,1
656,high,3
657,diner,1
658,terrific,2
659,wash,1
660,basins,1
661,loungers,1
662,shaded,1
663,areas,1
664,seating,1
665,finest,1
666,gem,1
667,host,2
668,normally,1
669,country,1
670,anyways,2
671,name,1
672,fairly,1
673,drag,1
674,noise,1
675,advisor,1
676,unit,1
677,east,1
678,complex,1
679,amenities,1
680,killer,1
681,heated,1
682,hope,1
683,orange,1
684,banana,1
685,smoothies,1
686,recently,2
687,granite,2
688,countertops,2
689,maker,1
690,burner,1
691,stove,1
692,sinks,1
693,huge,1
694,owner,1
695,rest,4
696,private,1
697,appartment,1
698,decorated,1
699,oasis,2
700,district,1
701,similar,1
702,styled,1
703,story,1
704,motels,1
705,chain,1
706,hideaway,1
707,salt,1
708,swimming,1
709,restaurant,1
710,shuttle,4
711,negative,1
712,middle,1
713,inconvenient,1
714,appointment,1
715,times,2
716,pathetic,1
717,discriminatory,2
718,wheelchair,1
719,users,1
720,corporate,3
721,customer,2
